# Ubmax_nK Ubmax_SEU Critical_Omega_R
11.8600 112.3710 2.5200
11.9000 112.7500 2.5200
11.9400 113.1290 2.5200
11.9800 113.5080 2.5200
12.0200 113.8869 2.5200
12.0600 114.2659 2.5200
12.1000 114.6449 2.5200
12.1400 115.0239 2.5200
12.1800 115.4029 2.5200
12.2200 115.7819 2.5200
12.2600 116.1609 2.5200
12.3000 116.5399 2.5200
12.3400 116.9189 2.5200
12.3800 117.2979 2.5100
12.4200 117.6769 2.5100
12.4600 118.0559 2.4400
12.5000 118.4348 2.4400
12.5400 118.8138 2.4400
12.5800 119.1928 2.4000
12.6200 119.5718 2.3700
12.6600 119.9508 2.3700
12.7000 120.3298 2.3700
12.7400 120.7088 2.3700
12.7800 121.0878 2.3700
12.8200 121.4668 2.3700
12.8600 121.8458 2.3700
12.9000 122.2248 2.3700
12.9400 122.6037 2.3300
12.9800 122.9827 2.2800
13.0200 123.3617 2.2100
13.0600 123.7407 2.1500
13.1000 124.1197 2.1500
13.1400 124.4987 2.1500
13.1800 124.8777 2.1500
13.2200 125.2567 2.1500
13.2600 125.6357 2.1500
13.3000 126.0147 2.1500
13.3400 126.3937 2.1500
13.3800 126.7727 2.1500
13.4200 127.1516 2.1500
13.4600 127.5306 2.1500
13.5000 127.9096 2.1500
13.5400 128.2886 2.1500
13.5800 128.6676 2.0900
13.6200 129.0466 2.0900
13.6600 129.4256 2.0900
13.7000 129.8046 2.0900
13.7400 130.1836 2.0900
13.7800 130.5626 2.0900
13.8200 130.9416 2.0900
13.8600 131.3206 2.0900
13.9000 131.6995 2.0900
13.9400 132.0785 2.0800
13.9800 132.4575 2.0800
14.0200 132.8365 2.0800
14.0600 133.2155 2.0800
14.1000 133.5945 2.0800
14.1400 133.9735 2.0800
14.1800 134.3525 2.0800
14.2200 134.7315 2.0800
14.2600 135.1105 2.0800
14.3000 135.4895 2.0800
14.3400 135.8685 2.0800
14.3800 136.2474 2.0800
14.4200 136.6264 2.0800
14.4600 137.0054 2.0800
14.5000 137.3844 2.0800
14.5400 137.7634 2.0800
14.5800 138.1424 2.0800
14.6200 138.5214 2.0800
14.6600 138.9004 2.0800
14.7000 139.2794 2.0800
14.7400 139.6584 2.0800
14.7800 140.0374 2.0800
14.8200 140.4163 2.0800
14.8600 140.7953 2.0800
14.9000 141.1743 2.0800
14.9400 141.5533 2.0800
14.9800 141.9323 2.0800
15.0200 142.3113 2.0800
15.0600 142.6903 2.0800
15.1000 143.0693 2.0800
15.1400 143.4483 2.0800
15.1800 143.8273 2.0800
15.2200 144.2063 2.0800
15.2600 144.5853 2.0800
15.3000 144.9642 2.0800
15.3400 145.3432 2.0800
15.3800 145.7222 2.0800
15.4200 146.1012 2.0800
15.4600 146.4802 2.0800
15.5000 146.8592 2.0800
15.5400 147.2382 2.0800
15.5800 147.6172 2.0800
15.6200 147.9962 2.0800
15.6600 148.3752 2.0800
15.7000 148.7542 2.0800
15.7400 149.1332 2.0800
15.7800 149.5121 2.0800
15.8200 149.8911 2.0800
15.8600 150.2701 2.0800
15.9000 150.6491 2.0800
15.9400 151.0281 2.0800
15.9800 151.4071 2.0800
16.0200 151.7861 2.0800
16.0600 152.1651 2.0800
16.1000 152.5441 2.0800
16.1400 152.9231 2.0700
16.1800 153.3021 2.0700
16.2200 153.6811 2.0700
16.2600 154.0600 2.0700
16.3000 154.4390 2.0700
16.3400 154.8180 2.0700
16.3800 155.1970 2.0700
16.4200 155.5760 2.0700
16.4600 155.9550 2.0700
16.5000 156.3340 2.0700
16.5400 156.7130 2.0700
16.5800 157.0920 2.0700
16.6200 157.4710 2.0700
16.6600 157.8500 2.0700
16.7000 158.2289 2.0700
16.7400 158.6079 2.0700
16.7800 158.9869 2.0700
16.8200 159.3659 2.0700
16.8600 159.7449 2.0700
16.9000 160.1239 2.0700
16.9400 160.5029 2.0700
16.9800 160.8819 2.0700
17.0200 161.2609 2.0700
17.0600 161.6399 2.0700
17.1000 162.0189 2.0700
17.1400 162.3979 2.0700
17.1800 162.7768 2.0700
17.2200 163.1558 2.0700
17.2600 163.5348 2.0700
17.3000 163.9138 2.0700
17.3400 164.2928 2.0700
17.3800 164.6718 2.0700
17.4200 165.0508 2.0700
17.4600 165.4298 2.0700
17.5000 165.8088 2.0700
17.5400 166.1878 2.0700
17.5800 166.5668 2.0700
17.6200 166.9458 2.0700
17.6600 167.3247 2.0700
17.7000 167.7037 2.0700
17.7400 168.0827 2.0700
17.7800 168.4617 2.0700
17.8200 168.8407 2.0700
17.8600 169.2197 2.0700
17.9000 169.5987 2.0700
17.9400 169.9777 2.0700
17.9800 170.3567 2.0700
18.0200 170.7357 2.0700
18.0600 171.1147 2.0700
18.1000 171.4937 2.0700
18.1400 171.8726 2.0700
18.1800 172.2516 2.0700
18.2200 172.6306 2.0700
18.2600 173.0096 2.0700
18.3000 173.3886 2.0700
18.3400 173.7676 2.0700
18.3800 174.1466 2.0700
18.4200 174.5256 2.0700
18.4600 174.9046 2.0700
18.5000 175.2836 2.0700
18.5400 175.6626 2.0700
18.5800 176.0415 2.0700
18.6200 176.4205 2.0700
18.6600 176.7995 2.0700
18.7000 177.1785 2.0700
18.7400 177.5575 2.0700
18.7800 177.9365 2.0700
18.8200 178.3155 2.0700
18.8600 178.6945 2.0400
18.9000 179.0735 2.0400
18.9400 179.4525 2.0400
18.9800 179.8315 2.0300
19.0200 180.2105 2.0100
19.0600 180.5894 1.9800
19.1000 180.9684 1.9800
19.1400 181.3474 1.9800
19.1800 181.7264 1.9800
19.2200 182.1054 1.9800
19.2600 182.4844 1.9800
19.3000 182.8634 1.9800
19.3400 183.2424 1.9800
19.3800 183.6214 1.9800
19.4200 184.0004 1.9800
19.4600 184.3794 1.9800
19.5000 184.7584 1.9800
19.5400 185.1373 1.9800
19.5800 185.5163 1.9800
19.6200 185.8953 1.9800
19.6600 186.2743 1.9600
19.7000 186.6533 1.9400
19.7400 187.0323 1.9100
19.7800 187.4113 1.9100
19.8200 187.7903 1.9100
19.8600 188.1693 1.9100
19.9000 188.5483 1.9100
19.9400 188.9273 1.9100
19.9800 189.3063 1.9100
20.0200 189.6852 1.9100
20.0600 190.0642 1.9100
20.1000 190.4432 1.9100
20.1400 190.8222 1.9100
20.1800 191.2012 1.9100
20.2200 191.5802 1.9100
20.2600 191.9592 1.9100
20.3000 192.3382 1.9100
20.3400 192.7172 1.9100
20.3800 193.0962 1.9100
20.4200 193.4752 1.9100
20.4600 193.8541 1.9100
20.5000 194.2331 1.9000
20.5400 194.6121 1.9000
20.5800 194.9911 1.8700
20.6200 195.3701 1.8700
20.6600 195.7491 1.8100
20.7000 196.1281 1.8100
20.7400 196.5071 1.8100
20.7800 196.8861 1.8100
20.8200 197.2651 1.8100
20.8600 197.6441 1.8100
20.9000 198.0231 1.8100
20.9400 198.4020 1.8100
20.9800 198.7810 1.8100
21.0200 199.1600 1.8100
21.0600 199.5390 1.8100
21.1000 199.9180 1.8100
21.1400 200.2970 1.7700
21.1800 200.6760 1.7300
21.2200 201.0550 1.7300
21.2600 201.4340 1.6600
21.3000 201.8130 1.5000
21.3400 202.1920 1.4900
21.3800 202.5710 1.4900
21.4200 202.9499 1.4900
21.4600 203.3289 1.4900
21.5000 203.7079 1.4900
21.5400 204.0869 1.4800
21.5800 204.4659 1.4600
21.6200 204.8449 1.4600
21.6600 205.2239 1.4600
21.7000 205.6029 1.4600
21.7400 205.9819 1.4600
21.7800 206.3609 1.4600
21.8200 206.7399 1.4600
21.8600 207.1189 1.4600
21.9000 207.4978 1.4600
21.9400 207.8768 1.4600
21.9800 208.2558 1.4600
22.0200 208.6348 1.4600
22.0600 209.0138 1.4600
22.1000 209.3928 1.4600
22.1400 209.7718 1.4600
22.1800 210.1508 1.4600
22.2200 210.5298 1.4600
22.2600 210.9088 1.4600
22.3000 211.2878 1.4600
22.3400 211.6667 1.4600
22.3800 212.0457 1.4500
22.4200 212.4247 1.4300
22.4600 212.8037 1.4300
22.5000 213.1827 1.4300
22.5400 213.5617 1.4300
22.5800 213.9407 1.4300
22.6200 214.3197 1.3700
22.6600 214.6987 1.3700
22.7000 215.0777 1.3700
22.7400 215.4567 1.3700
22.7800 215.8357 1.3700
22.8200 216.2146 1.3700
22.8600 216.5936 1.3500
22.9000 216.9726 1.3500
22.9400 217.3516 1.3500
22.9800 217.7306 1.3500
23.0200 218.1096 1.3500
23.0600 218.4886 1.3500
23.1000 218.8676 1.3500
23.1400 219.2466 1.3500
23.1800 219.6256 1.3500
23.2200 220.0046 1.3500
23.2600 220.3836 1.3500
23.3000 220.7625 1.3500
23.3400 221.1415 1.3500
23.3800 221.5205 1.3400
23.4200 221.8995 1.3400
23.4600 222.2785 1.3400
23.5000 222.6575 1.3300
23.5400 223.0365 1.3300
23.5800 223.4155 1.3000
23.6200 223.7945 1.3000
23.6600 224.1735 1.3000
23.7000 224.5525 1.3000
23.7400 224.9315 1.3000
23.7800 225.3104 1.3000
